driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,samples
XPG GAMMIX S50,SSD,931.5,27501,145,194.99,141.04,0.21,2019,81
SKHynix HFS512GDE9X084N,SSD,476.9,27423,146,,,,2021,235
NVMe WD BLACK SN750 SE 1TB,SSD,931.5,27415,147,,,,2021,6
MSI M390 1TB,SSD,931.5,27285,148,,,,2021,24
WDBGMP0020BNC-WRSN,SSD,1800,27266,149,,,,2020,5
Phison 1TB SM2801T24GKBB4S-E162,SSD,953.9,27257,150,,,,2020,49
NVMe Micron 2450 MTFDKBK1T0TFK,SSD,953.9,27243,151,,,,2022,14
WD Blue SN570 1TB,SSD,931.5,27243,152,89.99,302.74,0.1,2021,160
ESR01TBTLCG-EAC-4,SSD,953.9,27180,153,,,,2021,19
ESR512GTLG-E6GBTNB4,SSD,476.9,27150,154,,,,2021,23
SHGP31-2000GM,SSD,1800,27087,155,,,,2021,7
RevuAhn NX2200 1TB,SSD,953.9,27077,156,,,,2019,1
INTEL SSDPEKNU020TZ,SSD,1900,27074,157,219.99,123.07,0.12,2021,16
imation M.2 PCIe 1TB SSD X931,SSD,953.9,27040,158,,,,2019,4
Micron 3400 NVMe 512GB,SSD,476.9,27017,159,98.37,274.64,0.21,2021,30
Micron 2450 MTFDKBA512TFK,SSD,476.9,26999,160,,,,2022,14
PCIe SSD,SSD,3600,26950,161,,,,2020,6
NVMe Micron 2450 MTFDKBK512TFK,SSD,476.9,26932,162,,,,2022,5
Viper M.2 VPN100 1TB,SSD,953.9,26835,163,144.63,185.54,0.15,2019,102
PNY CS3040 500GB SSD,SSD,465.8,26801,164,109.99,243.67,0.24,2021,19
NVMe WD PC SN735 SDBPTHH-1T00-1002,SSD,953.9,26799,165,,,,2022,5
WD BLACK SN750 SE 1TB,SSD,931.5,26768,166,,,,2021,201
Apacer AS2280Q4 1000GB,SSD,931.5,26752,167,,,,2020,5
SHGP31-1000GM-2,SSD,931.5,26648,168,,,,2020,204
SDCPNRZ-2T00-1124-WD,SSD,1900,26559,169,,,,2021,8
WD BLACK SN750 SE NVMe 1TB,SSD,931.5,26541,170,,,,2021,19
addlink M.2 PCIE G3x4 NVMe,SSD,1900,26433,171,,,,2019,17
CT2000P5SSD8,SSD,1800,26412,172,177,149.22,0.1,2020,59
Samsung PM981a 512GB NVMe SED,SSD,476.9,26291,173,,,,2019,7
KIOXIA-EXCERIA PLUS SSD,SSD,931.5,26276,174,,,,2020,8
SAMSUNG MZVL21T0HCLR-00B07,SSD,953.9,26245,175,,,,2022,5
NVMe SAMSUNG MZVL2512HCJQ-00BT7,SSD,476.9,26235,176,,,,2022,6
WD Green SN350 1TB,SSD,931.5,26131,177,79.99,326.68,0.09,2021,22
BC711 NVMe SK hynix 1TB,SSD,953.9,26098,178,,,,2021,7
PC711 NVMe SK hynix 1TB,SSD,953.9,26094,179,,,,2020,163
NVMe PC711 NVMe SK hy,SSD,476.9,25998,180,,,,2021,9
Sabrent Rocket Q4,SSD,1800,25970,181,,,,2020,38
WDC WD BLACK SDBPNTZ-2T00,SSD,1900,25934,182,,,,2020,19
Seagate FireCuda 510 SSD ZP1000GM30031,SSD,931.5,25831,183,,,,2021,16
CT1000P5SSD8,SSD,931.5,25804,184,116,222.44,0.12,2020,401
WDBRPG0020BNC-WRSN,SSD,1800,25762,185,,,,2020,10
Apacer SM210 M280 512GB,SSD,476.9,25747,186,,,,2018,1
Sabrent Rocket 4,SSD,931.5,25673,187,188.69,136.06,0.2,2020,13
KIOXIA-EXCERIA PLUS G2 SSD,SSD,465.8,25662,188,,,,2021,11
SK hynix PC711 HFS512GDE9X073N,SSD,476.9,25562,189,,,,2021,51
Intel Optane 905P 960GB,SSD,894.3,25552,190,1361.77,18.76,1.52,2018,21
Samsung SSD 970 EVO Plus 2TB,SSD,1800,25499,191,492,51.83,0.27,2019,1391
ESR512GMFCM-E8GBTNB4,SSD,476.9,25456,192,,,,2021,14
SHGP31-500GM-2,SSD,465.8,25421,193,,,,2020,109
PNY CM3031 1TB SSD,SSD,953.9,25421,194,,,,2022,4
TEAM TM8FP4001T,SSD,953.9,25384,195,,,,2019,32
HFM001TD3JX013N,SSD,953.9,25373,196,,,,2021,532
E12S-1TB-PHISON-SSD-BICS4,SSD,953.9,25347,197,,,,2021,10
NVMe Micron 2450 MTFDKBA512TFK,SSD,476.9,25345,198,,,,2022,5
PNY CS2140 1TB SSD,SSD,931.5,25303,199,,,,2021,8
NVMe PC711 NVMe SK hynix 1TB,SSD,953.9,25268,200,,,,2021,143
PNY CS3030 2000GB SSD,SSD,1800,25151,201,,,,2019,7
Intel Optane SSD DC P4800X 375GB,SSD,349.3,25133,202,,,,2018,4
NVMe CT1000P5SSD8,SSD,931.5,25088,203,,,,2020,36
APS-SE20G-2T,SSD,1900,25034,204,,,,2019,6
SKHynix HFS001TDE9X081N,SSD,953.9,25025,205,,,,2021,21
PNY CS3030 2TB SSD,SSD,1800,25015,206,599.98,41.69,0.33,2019,38
Seagate BarraCuda 510 SSD ZP1000CM30001,SSD,931.5,25013,207,136.81,182.83,0.15,2020,65
WDBRPG0010BNC-WRSN,SSD,931.5,25007,208,,,,2019,291
E12-1TB-PHISON-SSD-B27-BB1,SSD,953.9,24982,209,,,,2021,10
NVMe PC711 NVMe SK hynix 512GB,SSD,476.9,24981,210,,,,2021,87
MSI M390 500GB,SSD,465.8,24976,211,79.99,312.24,0.17,2021,28
GIGABYTE GP-AG4500G,SSD,465.8,24897,212,99.99,248.99,0.21,2020,118
PNY CS2140 500GB SSD,SSD,465.8,24881,213,,,,2022,4
NMICRO EXTREME NVME ALPHA 1TB,SSD,953.9,24756,214,,,,2019,2
Intel Optane 900P 480GB,SSD,447.1,24746,215,900,27.5,2.01,2017,52
SKHynix HFS512GDE9X081N,SSD,476.9,24686,216,,,,2021,68
APS-SE20G-1T,SSD,953.9,24675,217,,,,2019,8
Samsung SSD 970 EVO Plus 1TB,SSD,931.5,24650,218,217.99,113.08,0.23,2019,5901
PHISON PS5012-E12S-1T,SSD,953.9,24579,219,,,,2020,10
Sabrent Rocket Q4,SSD,3600,24569,220,,,,2020,26
NVMe HFM512GD3JX016N,SSD,476.9,24556,221,,,,2021,39
Samsung SSD 980 PRO 250GB,SSD,232.9,24549,222,49.07,500.29,0.21,2020,430
Intel Optane 900P 280GB,SSD,260.8,24524,223,995,24.65,3.82,2017,93
WD BLACK AN1500,SSD,931.4,24515,224,,,,2021,26
APS-SE20Q-2T,SSD,1800,24513,225,,,,2020,8
SKHynix HFS001TD9TNI-L2B0B,SSD,953.9,24500,226,,,,2020,57
NVMe WDC PC SN730 SDB,SSD,953.9,24490,227,,,,2020,18
XPG GAMMIX S50 Lite,SSD,476.9,24470,228,,,,2021,18
SKHynix HFS001TD9TNI-L2A0B,SSD,953.9,24466,229,,,,2020,22
NVMe KXG60PNV2T04 NVMe KIOXIA 2048GB,SSD,1900,24456,230,,,,2021,6
WD Black SN750 NVMe 1TB,SSD,931.5,24452,231,149.99,163.02,0.16,2019,1958
NVMe WD Blue SN570 1T,SSD,931.5,24420,232,,,,2022,6
PC711 NVMe SK hynix 512GB,SSD,476.9,24417,233,,,,2021,70
WD BLACK AN1500,SSD,1800,24385,234,,,,2021,5
WDC PC SN720 NVMe 1TB SDAPNTW,SSD,953.9,24377,235,,,,2019,14
INTEL SSDPEKNU010TZ,SSD,953.9,24353,236,89.99,270.62,0.09,2021,180
PC SN720 NVMe WDC 1024GB,SSD,953.9,24343,237,,,,2019,4
Seagate FireCuda 510 SSD ZP500GM30021,SSD,465.8,24309,238,,,,2021,23
WDBGMP5000ANC-WRSN,SSD,465.8,24297,239,,,,2020,14
SHGP31-500GM,SSD,465.8,24266,240,,,,2021,10
MTFDHBA1T0TDV-1AZ1AABHA,SSD,953.9,24265,241,,,,2021,25
HFM001TD3JX016N,SSD,953.9,24241,242,,,,2021,11
NVMe WDS100T3X0C-00SJG0,SSD,931.5,24220,243,,,,2021,10
Seagate FireCuda 520 SSD ZP500GM30002,SSD,465.8,24206,244,,,,2019,225
NVMe PC711 NVMe SK hy,SSD,953.9,24197,245,,,,2021,7
WDC WD BLACK SDBPNTY-1T00,SSD,953.9,24196,246,,,,2020,127
Samsung SSD PM981a NVMe 1TB,SSD,953.9,24161,247,,,,2019,1343
XPG SPECTRIX S40G,SSD,1900,24118,248,,,,2020,27
Intel Optane 905P 480GB,SSD,447.1,24076,249,764.19,31.51,1.71,2018,16
MTFDHBA512TDV-1AZ1AABHA,SSD,476.9,24076,250,,,,2021,92
Micron 2300 NVMe 1024GB,SSD,953.9,24073,251,,,,2020,190
Force MP600,SSD,465.8,24067,252,86.99,276.66,0.19,2019,444
Apple APPLE SSD AP0512,SSD,465.9,24035,253,,,,2015,5
E12-1TB-PHISON-SSD-B16-BB1,SSD,953.9,24015,254,,,,2020,5
WDC PC SN730 SDBPNTY-1T00,SSD,953.9,24008,255,149.95,160.11,0.16,2020,609
NVMe SK hynix BC711 HFM512GD3JX013N,SSD,476.9,24002,256,,,,2021,10
CT500P5SSD8,SSD,465.8,23982,257,79.99,299.82,0.17,2020,386
NVMe WDC PC SN720 SED,SSD,953.9,23968,258,149,160.86,0.16,2019,10
NVMe HFM001TD3JX013N,SSD,953.9,23956,259,,,,2021,89
GIGABYTE GP-GM30512G-G,SSD,476.9,23900,260,,,,2021,31
WDS200T3X0C-00SJG0,SSD,1800,23893,261,,,,2019,84
PNY CS2130 2TB SSD,SSD,1800,23841,262,219.99,108.37,0.12,2020,43
NVMe BC711 NVMe SK hynix 1TB,SSD,953.9,23816,263,,,,2021,14
Samsung SSD 970 PRO 1TB,SSD,953.9,23787,264,199.99,118.94,0.21,2018,673
WD Blue SN570 500GB,SSD,465.8,23722,265,49.99,474.53,0.11,2021,151
SAMSUNG MZVLB2T0HALB-000H1,SSD,1900,23703,266,,,,2021,6
HFS001TDE9X073N,SSD,953.9,23692,267,,,,2021,13
HFM512GD3JX013N,SSD,476.9,23682,268,,,,2021,234
WDBGMP0010BNC-WRSN,SSD,931.5,23662,269,,,,2020,6
XPG GAMMIX S50 Lite,SSD,953.9,23623,270,,,,2020,102
