driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate,samples
HS-SSD-E100 128G,SSD,119.2,3025,4095,,,,2019,12
ZTSSD-S11-240G-P,SSD,223.6,3025,4096,,,,2016,13
Corsai Force GS,SSD,119.2,3024,4097,,,,2015,6
SSD2SC480G1SA754D117-499,SSD,447.1,3020,4098,,,,2015,8
INTENSO III SSD,SSD,447.1,3019,4099,,,,2016,21
Seagate ST1000DM2,HDD,931.5,3018,4100,,,,2015,15
SAMSUNG MZNLN128HCGR-00000,SSD,119.2,3018,4101,,,,2016,6
PNY CS900 M.2 250GB SSD,SSD,232.9,3017,4102,,,,2022,9
Samsung SSD 840 EVO 250GB,SSD,232.9,3015,4103,158.95,18.97,0.68,2013,1062
SAMSUNG SSD PM871b 2.5 7mm 128GB,SSD,119.2,3014,4104,,,,2018,9
GLOWAY WAR PRO T300 120G,SSD,111.8,3014,4105,,,,2016,14
CHN-25SATAS3-128,SSD,119.2,3013,4106,,,,2018,5
SSD2S240SF1200SA2,SSD,223.6,3013,4107,,,,2014,13
KINGSTON SV300S3240G,SSD,223.6,3013,4108,64.25,46.89,0.29,2013,30
LITEON CV3-CE128-HP,SSD,119.2,3012,4109,,,,2019,8
IR-SSDPR-S25A-120,SSD,111.8,3012,4110,,,,2018,20
Samsung SSD 750 EVO 250GB,SSD,232.9,3012,4111,69,43.65,0.3,2016,359
Transcend TS240GSS D220S,SSD,223.6,3010,4112,,,,2016,19
ADATA XM11 128GB,SSD,119.2,3010,4113,,,,2012,4
KINGSTON SM2280S3120G,SSD,111.8,3010,4114,,,,2014,8
MTFDDAK1T0MAY-1A,SSD,953.9,3009,4115,,,,2014,9
FSB-240GB,SSD,223.6,3008,4116,,,,2014,3
SAMSUNG MZ7LN128HAHQ-000H1,SSD,119.2,3008,4117,,,,2018,7
LITEON I T SCS-128L9S,SSD,119.2,3007,4118,,,,2015,8
SH00R480GB,SSD,447.1,3005,4119,,,,2018,9
SSD2SC12 0G3LA726B087-327,SSD,111.8,3005,4120,,,,2014,10
PLEXTOR PX-128M3P,SSD,119.2,3005,4121,,,,2013,20
INTEL SSDSCIHW120A4,SSD,111.8,3005,4122,156.6,19.19,1.4,2015,7
Mushkin Chronos 480 7MM MKNSSDCR480GB-7,SSD,447.1,3005,4123,,,,2013,97
FORESEE S600M064G,SSD,59.6,3005,4124,,,,2014,15
CHN 25SATA01M 120,SSD,111.8,3005,4125,,,,2016,7
Patriot Blaze,SSD,223.6,3005,4126,121.28,24.77,0.54,2014,8
SAMSUNG MZ7LN256,SSD,238.5,3003,4127,,,,2015,6
SK hynix SC210 2.5 7MM 128GB,SSD,119.2,3002,4128,,,,2015,6
Transcend TS128GMTS800,SSD,119.2,3002,4129,39.95,75.14,0.34,2014,30
Intel SSD 525 120GB,SSD,111.8,3001,4130,129,23.27,1.15,2013,13
Corsair Neutron SSD,SSD,111.8,3001,4131,,,,2013,11
Apacer AS340 120GB,SSD,111.8,3001,4132,,,,2016,82
SAMSUNG SSD PM851 mSATA 512GB,SSD,476.9,3000,4133,399.65,7.51,0.84,2014,9
SAMSUNG MZNLN128HCGR-000H1,SSD,119.2,2999,4134,,,,2016,13
HFS128G39TNF-N3A0A,SSD,119.2,2999,4135,,,,2018,12
SanDisk SDSSDH2128G,SSD,119.2,2999,4136,,,,2013,13
SAMSUNG MZ7TY256HDHP-000L1,SSD,238.5,2999,4137,,,,2017,17
SAMSUNG SSD PM830 FDE mS,SSD,238.5,2998,4138,,,,2013,7
Midas Force 120Gb,SSD,111.8,2998,4139,,,,2019,1
TEAM XS3 SSD,SSD,223.6,2998,4140,,,,2013,5
HFS128G32TNF-N3A0A,SSD,119.2,2998,4141,,,,2018,13
DOGFISH SSD 512GB,SSD,476.9,2998,4142,67.9,44.15,0.14,2019,15
SanDisk SD8SBBU120G1122,SSD,111.8,2998,4143,,,,2016,14
SAMSUNG MZNTE512HMJH-000,SSD,476.9,2997,4144,,,,2015,8
Transcend TS256GSS D320,SSD,238.5,2996,4145,,,,2013,16
KINGSTON RBUSNS8180DS3128GJ,SSD,119.2,2996,4146,,,,2018,57
KINGSTON RBU-SNS8152S3128GG2,SSD,119.2,2995,4147,,,,2016,8
Patriot Torch LE,SSD,111.8,2995,4148,,,,2015,20
OCZ-VERT EX3,SSD,111.8,2994,4149,,,,2012,13
PNY SSD2SC240GC2DA16T-T,SSD,223.6,2992,4150,,,,2013,12
JAMESDONKEY JD480 480GB,SSD,447.1,2992,4151,,,,2019,9
IR-SSDPR-S25A-240,SSD,223.6,2991,4152,,,,2018,27
SSD2SC120G1SA754D117-551,SSD,111.8,2991,4153,,,,2015,7
KINGSTON SHSS37A120G,SSD,111.8,2991,4154,,,,2015,29
VisionTek Racer 240GB,SSD,223.6,2989,4155,,,,2015,4
Crucial FCCT256MX100SSD1,SSD,238.5,2989,4156,,,,2016,14
KINGSTON SV300S37A120G,SSD,465.8,2989,4157,,,,2016,6
Intenso SSDIII,SSD,447.1,2989,4158,,,,2019,20
SanDisk SD6SP1M256G1102,SSD,238.5,2988,4159,,,,2015,8
AFOX 120GB,SSD,111.8,2988,4160,,,,2019,2
SSD PHISON 256GB PS3111-S11 TLC,SSD,238.5,2987,4161,,,,2017,5
SanDisk SD5SG2128G1052E,SSD,119.2,2986,4162,,,,2012,34
TRO-SSD7-256GB-PRO,SSD,238.5,2986,4163,,,,2015,11
ShanDianZhe-256GB,SSD,238.5,2986,4164,,,,2020,11
PLEXTOR PX-128M7VC,SSD,119.2,2986,4165,378.99,7.88,3.18,2016,12
SanDisk SDMSATA256G,SSD,238.5,2984,4166,,,,2015,8
Midasforce SSD 120GB,SSD,111.8,2983,4167,,,,2019,9
Intenso SSD Sata III,SSD,111.8,2983,4168,,,,2016,25
SSD2SC24 SSD2SC240G1SA754,SSD,223.6,2983,4169,,,,2014,9
SAMSUNG SSD PM830 mSATA,SSD,238.5,2982,4170,51.9,57.46,0.22,2012,74
CHN mSATA02M 128,SSD,118,2982,4171,,,,2016,6
RTHMB256VBM4MWDL,SSD,238.5,2982,4172,,,,2016,7
S3SSDC480XEU,SSD,447.1,2982,4173,,,,2020,11
SAMSUNG MZ7LN128HCHP-000H1,SSD,119.2,2981,4174,24.99,119.3,0.21,2016,46
P4-480,SSD,447.1,2981,4175,,,,2019,7
LITEONIT LMT-64M6M mSATA 64GB,SSD,59.6,2980,4176,,,,2014,6
KINGSTON SKC100S3120G,SSD,111.8,2980,4177,199.99,14.9,1.79,2012,36
Transcend TS120GSSD220S,SSD,111.8,2979,4178,53.9,55.26,0.48,2016,56
KINGSTON SKC300S37A60G,SSD,55.9,2978,4179,,,,2013,13
KINGSTON SUV300S37A120G,SSD,111.8,2978,4180,,,,2015,50
HFS128G32MND-2900A,SSD,119.2,2978,4181,,,,2015,6
ADATA Premier SP600 256GB,SSD,238.5,2977,4182,221,13.47,0.93,2014,39
LITEON CV1-8B128-HP,SSD,119.2,2976,4183,,,,2016,9
Transcend TS128GSSD370S,SSD,119.2,2975,4184,89.99,33.06,0.75,2015,45
SAMSUNG SSD SM841N mSATA 256GB,SSD,238.5,2974,4185,,,,2014,4
LITEONIT LCT-128M3S 2.5 7mm 128GB,SSD,119.2,2974,4186,,,,2013,7
Wdstars ssd MSATA-128GB,SSD,119.2,2974,4187,,,,2019,2
SAMSUNG SSD PM830 mSATA 128GB,SSD,119.2,2974,4188,225.39,13.19,1.89,2013,11
TRO-2280-512-PRO,SSD,476.9,2971,4189,,,,2016,8
SAMSUNG MZ7WD240HCFV-00003,SSD,223.6,2971,4190,123.14,24.13,0.55,2015,8
SAMSUNG MZNTE512HMJH-00000,SSD,476.9,2971,4191,99.99,29.71,0.21,2014,25
SAMSUNG MZNTD512HAGL-000L1,SSD,476.9,2970,4192,,,,2014,14
LITEON LCH-128V2S-11 22,SSD,119.2,2970,4193,,,,2015,6
SAMSUNG SSD PM851 M.2 2280 512GB,SSD,476.9,2970,4194,129.95,22.85,0.27,2015,5
INDMEM SSD mSATA 256GB,SSD,238.5,2969,4195,,,,2020,7
INTENSO III SSD,SSD,223.6,2969,4196,,,,2016,13
SAMSUNG MZ7WD480HAGM-000,SSD,447.1,2969,4197,,,,2014,5
SAMSUNG SSD PM830 m 256GB,SSD,212.2,2969,4198,,,,2012,1
ADATA SSD S511 60GB,SSD,59.6,2968,4199,,,,2012,1
SUNEAST SSD SE800 mSATA 256GB,SSD,238.5,2967,4200,,,,2019,5
SSD2SC480G1CS1754D117-533,SSD,447.1,2966,4201,,,,2015,78
LITEON CV1-CC128,SSD,119.2,2966,4202,,,,2016,8
HyperX Fury 3D 240GB,SSD,223.6,2965,4203,60,49.42,0.27,2019,17
SAMSUNG MZNLN128HCGR-000L2,SSD,119.2,2965,4204,52.28,56.72,0.44,2015,18
LITEON LJH-128V2G-11 M.2 2260 128GB,SSD,119.2,2965,4205,,,,2015,4
takeMS SSD UTX-2200 120GB,SSD,111.8,2965,4206,,,,2013,7
KingDian S400 120GB,SSD,111.8,2965,4207,,,,2017,17
Mushkin ECO2 240GB MKNSSDEC240GB,SSD,223.6,2964,4208,,,,2015,10
TRO-SSD7 -500GB-PRO,SSD,465.8,2964,4209,,,,2014,1
"Intel SSD 545s 128GB 2.5""",SSD,119.2,2963,4210,52.95,55.96,0.44,2017,2
SanDisk SDSSDHII,SSD,447.1,2962,4211,,,,2015,5
Intenso SSD Sata III,SSD,118,2962,4212,,,,2015,58
LITEONIT LAT-128M3S,SSD,119.2,2961,4213,,,,2013,6
HX256GSSDSATA3,SSD,238.5,2960,4214,,,,2020,13
Mushkin Atlas Vital 480GB MKNSSDAV480GB-D8,SSD,447.1,2960,4215,,,,2016,1
TEAM T253X1120G,SSD,111.8,2959,4216,,,,2019,46
SAMSUNG MZ7TE256HMHP-000L7,SSD,238.5,2958,4217,139.19,21.25,0.58,2014,57
EZCOOL S400 120GB,SSD,111.8,2958,4218,,,,2018,6
LITEONIT LCT-128,SSD,119.2,2958,4219,,,,2013,10
KINGSTON SV310S37A960G,SSD,894.3,2958,4220,,,,2014,7
SanDisk SD7SB6S128G1122,SSD,119.2,2957,4221,,,,2015,21
EDGE Boost Pro 7mm SSD,SSD,111.8,2957,4222,,,,2014,5
Intenso SSD Sata III,SSD,223.6,2956,4223,,,,2016,53
Hitachi HDC ROCKET SSD 120GB,SSD,111.8,2956,4224,,,,2019,1
SSD2SC24 SSD2SC240G1CS175,SSD,223.6,2956,4225,,,,2015,6
KINGSTON SA400S37120G,SSD,223.6,2956,4226,,,,2018,6
LITEON CV5-CQ512-11 512GB,SSD,476.9,2955,4227,,,,2017,1
SAMSUNG MZYTE256HMHP-000L2,SSD,238.5,2955,4228,,,,2015,14
LITEON L8H-128V2G-HP,SSD,119.2,2953,4229,,,,2015,21
Netac SS D 128GB,SSD,118,2951,4230,,,,2019,1
KLEVV NEO N400 SSD 120GB,SSD,111.8,2951,4231,,,,2020,32
Transcend TS240GSSD220S,SSD,223.6,2951,4232,68.99,42.77,0.31,2016,81
LITEON L8H-128V2G-11 M.2 2280 128GB,SSD,119.2,2949,4233,,,,2015,10
PNY CS1211 480GB SSD 754D117-533,SSD,447.1,2949,4234,,,,2016,6
SanDisk SD7SB3Q128G1002,SSD,119.2,2949,4235,,,,2014,135
RevuAhn_850X2M128GB,SSD,111.8,2949,4236,,,,2015,5
Transcend TS128GSSD720,SSD,119.2,2949,4237,105.32,28,0.88,2013,54
TOSHIBA MQ01ABF050,SSD,223.6,2948,4238,,,,2015,8
Intel SSD 510 250GB,SSD,232.8,2948,4239,544.76,5.41,2.34,2011,6
Samsung SSD 750 EVO 500G,SSD,465.8,2947,4240,,,,2016,8
KINGSTON SUV400S,SSD,111.8,2947,4241,,,,2016,31
OCZ-VERT EX450,SSD,238.5,2947,4242,,,,2013,12
SAMSUNG MZMPD256HAGM-000H1,SSD,238.5,2945,4243,,,,2014,7
SAMSUNG MZYTY128HDHP-000L2,SSD,119.2,2944,4244,40.8,72.16,0.34,2016,17
LITEONIT LMT-64M6M mSATA,SSD,59.6,2944,4245,,,,2013,7
SSD2SC12 0G1CS1754D117-48,SSD,111.8,2943,4246,,,,2015,5
MGTEC,SSD,111.8,2942,4247,,,,2019,5
LITEONIT LAT-256M2S,SSD,238.5,2942,4248,,,,2013,16
KINGSTON SVP200S37A240G,SSD,223.6,2942,4249,222.23,13.24,0.99,2012,17
SAMSUNG MZNTE256HMHP-000L7,SSD,238.5,2942,4250,,,,2014,11
V-GEN08SM20AR128SDK 128GB,SSD,119.2,2941,4251,,,,2021,5
APOTOP SSD S3C,SSD,119.2,2941,4252,,,,2014,9
Teclast 256GB A750,SSD,238.5,2941,4253,,,,2019,3
Intel SSD 545s 128GB M.2,SSD,119.2,2941,4254,50,58.82,0.42,2018,39
BIOSTAR S100-480GB,SSD,447.1,2940,4255,,,,2019,4
Crucial CT240M500SSD3,SSD,223.6,2939,4256,227.77,12.91,1.02,2013,12
Mushkin Chronos 250GB 7MM MKNSSDCR250GB-7,SSD,232.9,2939,4257,,,,2014,10
PNY SSD2SC120GC1DH16T-T,SSD,111.8,2939,4258,,,,2013,23
INTENSO,SSD,238.5,2938,4259,,,,2014,33
PNY CS900 120GB SSD,SSD,111.8,2938,4260,30.28,97.02,0.27,2016,540
LITEON LMH-128V2M-11 MSATA 128GB,SSD,119.2,2937,4261,,,,2015,9
Micron M500DC 120GB MTFDDAK120MBB,SSD,111.8,2937,4262,,,,2016,3
TOSHIBA THNSN9240GES1,SSD,223.6,2937,4263,,,,2016,6
Intel SSD 535 56GB,SSD,52.2,2937,4264,,,,2018,2
ADATA SU655,SSD,111.8,2936,4265,25.99,112.97,0.23,2018,29
SAMSUNG SSD PM851 M.2 22,SSD,238.5,2936,4266,,,,2015,6
WDC WDS200T2G0A,SSD,1800,2936,4267,177.71,16.52,0.1,2020,6
CT120BX500SSD1,SSD,111.8,2934,4268,39.99,73.36,0.36,2018,470
Mushkin Chronos 120GB 7MM MKNSSDCR120GB-7,SSD,111.8,2934,4269,,,,2014,5
512GB QLC SSD,SSD,476.9,2934,4270,59.99,48.9,0.13,2020,15
SAMSUNG SSD PM85,SSD,238.5,2933,4271,,,,2014,11
SAMSUNG MZ7TE256HMHP-000,SSD,238.5,2932,4272,,,,2014,139
SanDisk SDSSDH2256G,SSD,238.5,2932,4273,,,,2013,21
CT240BX500SSD1,SSD,223.6,2932,4274,40.85,71.77,0.18,2018,1662
GAMER L TA1D0120A,SSD,111.8,2931,4275,,,,2019,11
THNSN0128GTYA TOSHIBA,SSD,119.2,2930,4276,,,,2017,5
Transcend TS256GSS TS256GSSD370,SSD,238.5,2929,4277,,,,2015,5
SSD2SC24 0G1CS1754D117-82,SSD,223.6,2929,4278,,,,2015,52
CHN25SATAS1 256,SSD,238.5,2929,4279,,,,2018,5
TKEER 120GB,SSD,111.8,2929,4280,,,,2018,1
SAMSUNG SSD PM851 2.5 7mm 256GB,SSD,238.5,2928,4281,,,,2014,30
Micron M510 MTFDDAV128MAZ,SSD,119.2,2927,4282,,,,2017,20
faspeed H5-120G PLUS,SSD,111.8,2925,4283,,,,2018,15
MyDigitalSSD BP5 M.2 256GB,SSD,238.5,2925,4284,,,,2017,1
SanDisk SD6SB1M128G1022I,SSD,119.2,2925,4285,,,,2013,47
CT480BX500SSD1,SSD,447.1,2925,4286,52.99,55.19,0.12,2018,805
SanDisk SD8SNAT-128G-100,SSD,119.2,2924,4287,,,,2017,11
OWC Mercury Extreme Pro SSD,SSD,107,2922,4288,,,,2010,10
Patriot Blast 120GB,SSD,111.8,2921,4289,39.99,73.04,0.36,2015,34
SAMSUNG SSD PM871 M.2 22,SSD,119.2,2921,4290,,,,2016,5
KingDian M280-120GB,SSD,111.8,2921,4291,,,,2016,3
KINGMAX SSD 240G,SSD,223.6,2921,4292,,,,2012,6
MG BG400M8 SSD 128GB,SSD,119.2,2920,4293,,,,2019,2
SanDisk SD7SB7S512G1001,SSD,476.9,2919,4294,,,,2016,8
Visenta 120GB V300,SSD,111.8,2919,4295,,,,2019,1
SAMSUNG MZ7TE256HMHP-00004,SSD,238.5,2919,4296,,,,2014,27
ADATA SU700,SSD,223.6,2919,4297,,,,2017,7
Solidata SSD,SSD,111.8,2917,4298,,,,2012,8
SanDisk SD6SF1M256G1022,SSD,238.5,2916,4299,,,,2013,20
MK0100GCTYU,SSD,93.2,2915,4300,,,,2016,7
IPLEX SSD 128GB,SSD,114.6,2915,4301,,,,2018,21
SAMSUNG SSD PM851 M.2 2280 256GB,SSD,238.5,2914,4302,,,,2014,26
KINGMAX SSD 120G,SSD,111.8,2914,4303,,,,2013,17
LITEON LCH-128V2S-11 2.5 7mm 128GB,SSD,119.2,2913,4304,,,,2015,19
Micron M510 MTFDDAK128MAZ,SSD,119.2,2913,4305,,,,2016,6
SSD2SC24 0G3SA754D117-485,SSD,223.6,2913,4306,,,,2014,7
CT250MX5 00SSD1,SSD,232.9,2912,4307,,,,2018,8
Plextor M2P 128GB PX-128M2P,SSD,119.2,2912,4308,,,,2012,11
Lexar SSD,SSD,119.2,2912,4309,,,,2019,27
OWC Mercury Electra 6G SSD,SSD,223.6,2911,4310,,,,2014,8
Intenso SSDIII,SSD,476.9,2911,4311,,,,2019,42
Patriot P210 256GB,SSD,238.5,2910,4312,42.42,68.61,0.18,2020,68
R580 240GB,SSD,223.6,2910,4313,,,,2019,5
Intel SSD DC S3500 160GB,SSD,149,2908,4314,57,51.03,0.38,2014,16
OCZ-VERT EX460,SSD,111.8,2908,4315,,,,2014,33
SAMSUNG SSD PM851 mSATA 256GB,SSD,238.5,2907,4316,114,25.5,0.48,2014,82
SSD2SC240G1CS1763C121S488,SSD,223.6,2907,4317,,,,2015,7
Fujitsu F500s 1TB,SSD,931.5,2907,4318,,,,2020,4
SAMSUNG MZNTY128HDHP-00000,SSD,119.2,2905,4319,52.29,55.56,0.44,2016,28
Transcend TS120GSS D220S,SSD,111.8,2905,4320,,,,2016,18
OWC Mercury Electra 6G SSD,SSD,447.1,2905,4321,83.99,34.59,0.19,2012,12
Intel SSD 530 120GB mSATA,SSD,111.8,2904,4322,69.97,41.51,0.63,2013,4
SAMSUNG MZ7TE256HMHP-000L2,SSD,238.5,2903,4323,,,,2014,15
IR_SSDPR_S25A_120,SSD,111.8,2903,4324,,,,2018,7
Plextor M3 Pro 256GB PX-256M3P,SSD,238.5,2903,4325,,,,2012,16
SanDisk SD6SB1M-128G-1006,SSD,119.2,2902,4326,64.99,44.65,0.55,2014,35
Intel SSD Pro 1500 120GB M.2,SSD,111.8,2902,4327,,,,2014,5
Mushkin Source 500GB MKNSSDSR500GB,SSD,465.8,2902,4328,69.99,41.46,0.15,2018,11
TEAM T2535T240G,SSD,223.6,2900,4329,,,,2018,14
PNY SSD2SC120GC1DA16T-T,SSD,111.8,2900,4330,,,,2012,36
Mushkin Striker 240GB MKNSSDST240GB,SSD,223.6,2900,4331,,,,2016,17
LITEONIT LCT-128M3S 2.5,SSD,119.2,2900,4332,,,,2014,10
Patriot Pyro SE 120GB SSD,SSD,111.8,2899,4333,129.75,22.34,1.16,2011,6
LITEONIT LAT-64M3S,SSD,59.6,2899,4334,,,,2013,16
Intenso SSDIII,SSD,223.6,2898,4335,,,,2019,10
EZ LINK T34 256GB,SSD,238.5,2898,4336,,,,2014,2
Corsair Force 3 SSD,SSD,447.1,2898,4337,,,,2012,17
SanDisk SD6SP1M128G1102,SSD,119.2,2897,4338,,,,2015,12
PLEXTOR PX-128M5S,SSD,119.2,2897,4339,179.45,16.14,1.51,2013,93
KINGSTON RBUSNS8180S3128GI1,SSD,119.2,2894,4340,,,,2017,12
SemsoTai 256GB,SSD,238.5,2894,4341,,,,2020,4
KINGSTON SHFS37A120G,SSD,111.8,2892,4342,,,,2014,267
QNIX 256GB,SSD,238.5,2892,4343,,,,2020,4
MTFDDAV256MAZ-1AE1ZABHA,SSD,238.5,2892,4344,,,,2015,16
HX240GSSDSATA3,SSD,223.6,2891,4345,,,,2020,9
LITEON LCH-128V2S,SSD,119.2,2890,4346,,,,2015,19
TOSHIBA Q300.,SSD,223.6,2890,4347,,,,2017,5
Transcend TS128GMTS400,SSD,119.2,2890,4348,116.94,24.71,0.98,2015,13
SAMSUNG MZ7WD120HAFV-00003,SSD,111.8,2889,4349,,,,2014,6
ADATA Premier SP600 M.2 256GB,SSD,238.5,2889,4350,,,,2015,28
BP4e mSATA SSD,SSD,223.6,2888,4351,81.99,35.22,0.37,2014,23
EMTEC X150 120GB,SSD,111.8,2888,4352,,,,2019,13
DREVO X1 SSD,SSD,111.8,2887,4353,,,,2016,19
Apacer AS350 128GB,SSD,119.2,2887,4354,,,,2019,41
Corsair Neutron SSD,SSD,119.2,2885,4355,,,,2013,6
SAMSUNG SSD PM851 mSATA,SSD,238.5,2885,4356,139.99,20.61,0.59,2014,87
Crucial FCCT256M550SSD1,SSD,238.5,2885,4357,,,,2016,6
SanDisk SD6SB2M-512G-100,SSD,476.9,2885,4358,,,,2014,15
Intel SSD Pro 2500 120GB,SSD,111.8,2885,4359,102.99,28.01,0.92,2014,6
WDC WDS240G2G0B,SSD,223.6,2883,4360,39.47,73.05,0.18,2018,601
SAMSUNG SSD PM830 m 128GB,SSD,93,2883,4361,,,,2012,1
Mushkin Reactor 250GB MKNSSDRE250GB,SSD,232.9,2882,4362,,,,2017,3
Corsair Force 3,SSD,167.7,2882,4363,,,,2013,10
INTEL SSDSC2KB240G7,SSD,223.6,2882,4364,99.99,28.82,0.45,2018,6
LITEONIT LMT-128M3M mSATA 128GB,SSD,119.2,2881,4365,,,,2014,8
Crucial CT128MX100SSD1,SSD,119.2,2880,4366,153.32,18.78,1.29,2014,42
EDGE Boost Pro SSD,SSD,111.8,2879,4367,,,,2014,9
P300-MTFDDAC100SAL,SSD,93.2,2879,4368,,,,2014,10
RD-S350MCN-N2563,SSD,236,2877,4369,,,,2018,7
KINGSTON SVP200S37A256G,SSD,238.5,2876,4370,,,,2013,8
TOSHIBA Q300,SSD,447.1,2876,4371,,,,2015,7
WDC WDS1 20G1G0A,SSD,111.8,2874,4372,,,,2017,14
Mushkin Atlas 480GB MKNSSDAT480GB,SSD,447.1,2872,4373,,,,2013,6
SAMSUNG MZNLN128HCGR-00007,SSD,119.2,2871,4374,,,,2016,5
KINGSTON SA400S37240G,SSD,223.6,2870,4375,,,,2017,4080
Mushkin Chronos 240GB 7MM MKNSSDCR240GB-7,SSD,223.6,2868,4376,,,,2013,13
GALAX GX024010A100-A1,SSD,223.6,2868,4377,,,,2015,10
SSDPR-CL100-240-G2,SSD,223.6,2867,4378,,,,2019,23
SAMSUNG MZNTY128HDHP-000H1,SSD,119.2,2867,4379,51.89,55.25,0.44,2016,39
Ramsta SSD S800 256GB,SSD,238.5,2866,4380,,,,2020,4
SAMSUNG MZMPC256HBGJ-000H1,SSD,238.5,2865,4381,,,,2013,35
SSDPR-CL100-480-G3,SSD,447.1,2865,4382,,,,2020,12
MKNSSDSR1TB,SSD,931.5,2864,4383,122.99,23.29,0.13,2019,12
SSD-S400 120GB,SSD,111.8,2864,4384,,,,2019,1
PLEXTOR PX-64M6M,SSD,59.6,2862,4385,54.99,52.05,0.92,2014,5
SUNEAST SSD SE800 256GB,SSD,238.5,2862,4386,,,,2019,10
Mushkin Chronos G2 480GB MKNSSDCR480GB-G2,SSD,447.1,2861,4387,,,,2015,2
MRSAJAL240GZM25C00,SSD,223.6,2859,4388,,,,2015,5
Transcend TS128GMTS600,SSD,119.2,2858,4389,64.99,43.98,0.55,2015,34
Intel SSD Pro 2500 360GB M.2,SSD,335.3,2857,4390,,,,2015,2
SAMSUNG MZ7LN128HCHP-00000,SSD,119.2,2856,4391,,,,2015,10
OCZ 480GB SSD D2CSTK251A20-0480,SSD,447.1,2856,4392,,,,2017,4
LITEON IT N3-L2128,SSD,119.2,2856,4393,,,,2014,7
KingDian S400 XT 240GB,SSD,223.6,2855,4394,,,,2016,1
SAMSUNG MZ7TD256HAFV-000L7,SSD,238.5,2854,4395,,,,2013,33
SAMSUNG SSD PM871 2.5 7mm 128GB,SSD,119.2,2854,4396,,,,2015,42
M.2 C100 128GB,SSD,119.2,2853,4397,,,,2020,7
Mushkin Source 250GB MKNSSDSR250GB,SSD,232.9,2851,4398,39.49,72.19,0.17,2018,8
256GB QLC SSD,SSD,238.5,2851,4399,90.88,31.37,0.38,2020,12
INNOVATION IT,SSD,476.9,2850,4400,,,,2019,9
SanDisk SD8SNAT128G1122,SSD,119.2,2849,4401,,,,2015,7
Longline SSD,SSD,111.8,2849,4402,,,,2020,5
SanDisk SDSSDH22,SSD,238.5,2847,4403,,,,2013,7
Corsair Force GT,SSD,83.8,2847,4404,,,,2012,171
Mushkin ECO3 120GB MKNSSDE3120GB,SSD,111.8,2846,4405,,,,2016,17
SDM8SI480A,SSD,447.1,2845,4406,,,,2019,6
SPCC Solid State,SSD,119.2,2845,4407,,,,2012,179
WDC WDS240G1G0B,SSD,223.6,2845,4408,39,72.95,0.17,2016,36
"SPCC 2.5"" SSD",SSD,476.9,2845,4409,,,,2020,14
SanDisk SDSSDHP2,SSD,238.5,2844,4410,,,,2013,51
ATP Velo city MIV 120GB,SSD,111.8,2844,4411,,,,2015,1
SAMSUNG MZ7LN128HCHP-000,SSD,119.2,2843,4412,,,,2015,34
SAMSUNG MZMLN128HCGR-000,SSD,119.2,2843,4413,,,,2016,8
Lexar SSD,SSD,111.8,2843,4414,67.99,41.81,0.61,2019,19
KINGSTON RBU-SC400S37128,SSD,119.2,2842,4415,,,,2014,6
Patriot P200 512GB,SSD,476.9,2841,4416,136,20.89,0.29,2019,24
Corsair Force GS,SSD,111.8,2841,4417,,,,2014,7
Transcend TS256GSSD420K,SSD,238.5,2841,4418,,,,2017,8
ESA3SMD2HSLB240GB,SSD,223.6,2840,4419,,,,2015,5
Intenso SSD,SSD,223.6,2839,4420,,,,2017,9
Transcend SSD720 128GB TS128GSSD720,SSD,119.2,2838,4421,218.95,12.96,1.84,2012,41
SSD2SC120G1SA754D117-820,SSD,111.8,2838,4422,,,,2014,11
Transcend SSD320 256GB TS256GSSD320,SSD,238.5,2837,4423,174.99,16.21,0.73,2012,13
LITEONIT LCT-128M3S,SSD,119.2,2836,4424,,,,2013,9
ADATA SSD S510 120GB-D,SSD,111.8,2836,4425,,,,2015,1
Transcend TS512GMSA370I,SSD,476.9,2834,4426,,,,2015,19
SanDisk SDSSDXP1,SSD,111.8,2834,4427,,,,2013,11
SAMSUNG MZ7LM240HMHQ-00005,SSD,223.6,2832,4428,195,14.52,0.87,2017,8
Patriot Torch LE,SSD,223.6,2832,4429,,,,2015,11
Intel SSD Pro 5450s 128GB,SSD,119.2,2832,4430,,,,2018,12
SanDisk SDSSDA480G,SSD,447.1,2829,4431,,,,2016,94
SAMSUNG MZNLN128HCGR-000L1,SSD,119.2,2829,4432,,,,2015,14
KINGSTON SV300S3,SSD,223.6,2827,4433,,,,2013,10
SSD2SC12 0G1CS1754D117-55,SSD,111.8,2827,4434,,,,2015,23
ADATA SU655,SSD,894.3,2826,4435,,,,2019,6
SAMSUNG MZMTE512HMHP-000L1,SSD,476.9,2826,4436,299.95,9.42,0.63,2014,34
SSD2SC240G1CS11754D117-514,SSD,223.6,2826,4437,,,,2015,24
XP0120GFJSL,SSD,111.8,2826,4438,,,,2017,5
SanDisk Z400s 2.5 7MM 128GB,SSD,119.2,2826,4439,,,,2016,10
Verbatim Vi500 S3 240GB SSD,SSD,223.6,2826,4440,,,,2018,9
LITEONIT LGT-128M6G,SSD,119.2,2825,4441,,,,2014,35
TEAM M8PS5 SSD 128GB,SSD,119.2,2825,4442,,,,2017,3
TRO-SSD7-250GB-PRO,SSD,232.9,2825,4443,,,,2015,7
